Promosyon,VadeIskonto,Promosyon_GecenAy,Lansman İçerik Kodu,BolgeDepoSayısı,Boya Tüketici Fiyat Endeksi,BaglantiKampanyasiBittiMi,BaglantiKampanyasi,IskontoOran,ToplamTeklifMiktari,VadeIskonto_GecenAy,CRMAktiviteTuru,CRMAktiviteBitiseUzaklik,CRM_Hedef_Kitle_Kisi_Sayi,Tüketici Fiyatlarının Değişimine Ilişkin Düşünce,DonemSonu,USD_Std6,Pesin_GecenAy,PromosyonIskonto,ToplamHedef,Konut Faiz Oranları_RM6,Satis,Yapı Kullanma İzin Belgesi - Daire Sayısı_RM6,KampanyaTuru_GecenAy,Boya ÜFE_RM6,Boya ÜFE_RM12,Binalar Ve Bina İnşaat İşleri_RM12,Binalar Ve Bina İnşaat İşleri_RM6,ToptanciStok,İnşaat Büyüme_RM3,IadeKampanyasi,Yıl,Ay,Bölüm5 Kod,MusteriGrup,ToplamTonaj
0.0,0.0,0.0,0,0.0,24.930500030517567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.31999969482422,1.0,0.8764417925840053,0.0,0.0,432488688.2,17.139583428700767,162500663.124017,67775.0,1.0,282.6749979654948,262.19499969482416,151.74749883015954,162.8366673787435,1123393.681,-12.765181541442873,0.0,2018,9,5,Toptancı+Perakendeci,35002.125
0.0,0.0,0.0,0,0.0,26.890899658203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.599998474121094,0.0,0.7970477250301601,0.0,1.0,525826465.99,19.492500146230054,197079967.846627,72086.11067708331,1.0,296.7049967447917,271.67083231608075,155.79249827067056,167.76166534423828,974645.396,-8.994935552279154,0.0,2018,10,5,Toptancı+Perakendeci,293624.494
0.0,0.0,0.0,0,0.0,27.30430030822754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.81999969482422,0.0,0.6724144623146165,0.0,1.0,525826465.99,21.951250076293945,201624933.05734095,76397.22135416669,1.0,308.0316619873047,279.9874979654948,159.19166564941406,171.20999908447266,1218007.218,-5.2246895631154375,0.0,2018,11,5,Toptancı+Perakendeci,198866.957
0.0,0.0,0.0,0,0.0,27.547399520874023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.63999938964844,1.0,0.552829201993639,0.0,1.0,525826465.99,24.40533351898193,214906897.048888,80708.33203125,1.0,318.92832946777344,288.5133310953776,162.19583257039392,173.625,1212728.863,-1.4544435739517212,0.0,2018,12,5,Toptancı+Perakendeci,99186.884
0.0,0.0,0.0,0,0.0,27.9192008972168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.72000122070313,0.0,0.408844023461072,0.0,0.0,119567559.02,25.96533330281575,234977439.46922,83284.0546875,1.0,330.2966613769531,296.3849970499675,165.57833226521808,177.60333251953125,1128113.5159999998,-5.4856345653533936,0.0,2019,1,5,Toptancı+Perakendeci,61257.654
0.0,0.0,0.0,0,0.0,28.11280059814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.59000015258789,0.0,0.4381245398768459,25.6,0.0,119567559.02,26.630416552225753,241855959.92824903,85859.77734375,1.0,337.7533264160156,303.5858294169108,168.92333221435547,180.3249969482422,1017507.411,-9.516825556755066,0.0,2019,2,5,Toptancı+Perakendeci,505225.70700000005
0.0,0.0,0.0,0,1.0,28.273399353027344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.83000183105469,1.0,0.21667779468779105,30.808000000000003,0.0,119567559.02,25.46008332570393,5895610.742305,88435.5,1.0,339.17499287923175,310.92499542236334,172.26499938964844,181.69333140055332,1161138.727,-13.548016548156738,0.0,2019,3,5,Toptancı+Perakendeci,443744.463
0.0,0.0,0.0,0,2.0,28.54389953613281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.830001831054695,0.0,0.1689196795327676,28.576,0.0,317849956.18,23.58550008138021,33516705.727783,80988.16666666669,1.0,340.8116607666016,318.75832875569665,175.6158320109049,183.4699986775716,1070568.814,-9.573333263397217,0.0,2019,4,5,Toptancı+Perakendeci,81114.744
0.0,0.0,0.0,0,2.0,28.94269943237305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.110000610351555,0.0,0.30580784412719786,24.0,0.0,317849956.18,22.222500165303543,55839870.62098499,73540.83333333331,1.0,344.7533264160156,326.3924942016602,178.90583165486657,186.60166422526038,1404119.0,-5.598649978637695,1.0,2019,5,5,Toptancı+Perakendeci,1310157.071
0.0,0.0,0.0,0,0.0,29.15130043029785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.35000038146973,1.0,0.30228917654143656,29.340275,0.0,317849956.18,21.22000026702881,63799862.69304399,66093.5,3.0,347.806660970052,333.36749521891284,181.8166656494141,190.0083312988281,1816770.532,-1.6239666938781738,1.0,2019,6,5,Toptancı+Perakendeci,950064.684
0.0,0.0,0.0,0,13.0,29.28529930114746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.470001220703125,0.0,0.2780372906085583,29.340275,0.0,497328908.93,20.360000292460125,126160245.740699,60420.27799479166,3.0,349.27666219075513,339.7866617838542,184.42749913533527,191.25166575113929,1614801.637,-0.5336809158325195,0.0,2019,7,5,Toptancı+Perakendeci,287552.696
0.0,0.0,0.0,0,13.0,29.43740081787109,0.0,0.0,0.0,0.0,0.0,2.0,1.0,98106.0,36.290000915527344,0.0,0.20291033882824625,26.68,1.0,497328908.93,18.88825035095215,166891364.280328,54747.05598958334,1.0,351.22166442871094,344.4874954223633,186.2508316040039,192.1766662597656,1525739.794,0.5566048622131348,0.0,2019,8,5,Toptancı+Perakendeci,450304.884
0.0,0.0,0.0,0,13.0,29.50069999694824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.790000915527344,1.0,0.15160438175581012,28.75,0.0,497328908.93,18.02566687266032,185062394.81579,49073.833984375,1.0,352.42166646321607,345.7983296712239,187.08249918619788,192.4716669718424,1392994.55,1.646890640258789,0.0,2019,9,5,Toptancı+Perakendeci,1076576.068
0.0,0.0,0.0,0,13.0,29.70120048522949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.15084802235659353,32.3125,1.0,603119716.71,17.261916796366375,206944329.717226,51808.72265625,1.0,352.8650004069011,346.83833058675134,187.91583251953125,192.36166636149085,1258345.365,6.59842809041341,0.0,2019,10,5,Toptancı+Perakendeci,917052.735
